Variable,Value,Count,Proportion
CRIM,"(-0.08360000000000001, 8.903]",439.0,0.8675889328063241
CRIM,"(8.903, 17.8]",44.0,0.08695652173913043
CRIM,"(17.8, 26.697]",14.0,0.02766798418972332
CRIM,"(35.594, 44.491]",3.0,0.005928853754940711
CRIM,"(44.491, 53.388]",2.0,0.003952569169960474
CRIM,"(80.079, 88.976]",1.0,0.001976284584980237
CRIM,"(71.182, 80.079]",1.0,0.001976284584980237
CRIM,"(62.285, 71.182]",1.0,0.001976284584980237
CRIM,"(26.697, 35.594]",1.0,0.001976284584980237
CRIM,"(53.388, 62.285]",0.0,0.0
ZN,"(-0.101, 10.0]",372.0,0.7351778656126482
ZN,"(20.0, 30.0]",33.0,0.06521739130434782
ZN,"(10.0, 20.0]",33.0,0.06521739130434782
ZN,"(70.0, 80.0]",18.0,0.03557312252964427
ZN,"(30.0, 40.0]",17.0,0.03359683794466403
ZN,"(50.0, 60.0]",10.0,0.019762845849802372
ZN,"(80.0, 90.0]",9.0,0.017786561264822136
ZN,"(40.0, 50.0]",6.0,0.011857707509881422
ZN,"(90.0, 100.0]",5.0,0.009881422924901186
ZN,"(60.0, 70.0]",3.0,0.005928853754940711
INDUS,"(16.828, 19.556]",132.0,0.2608695652173913
INDUS,"(5.916, 8.644]",99.0,0.1956521739130435
INDUS,"(3.188, 5.916]",95.0,0.18774703557312253
INDUS,"(0.432, 3.188]",56.0,0.11067193675889328
INDUS,"(19.556, 22.284]",45.0,0.08893280632411067
INDUS,"(8.644, 11.372]",44.0,0.08695652173913043
INDUS,"(11.372, 14.1]",20.0,0.039525691699604744
INDUS,"(25.012, 27.74]",12.0,0.023715415019762844
INDUS,"(14.1, 16.828]",3.0,0.005928853754940711
INDUS,"(22.284, 25.012]",0.0,0.0
CHAS,"(-0.002, 0.1]",471.0,0.9308300395256917
CHAS,"(0.9, 1.0]",35.0,0.0691699604743083
CHAS,"(0.8, 0.9]",0.0,0.0
CHAS,"(0.7, 0.8]",0.0,0.0
CHAS,"(0.6, 0.7]",0.0,0.0
CHAS,"(0.5, 0.6]",0.0,0.0
CHAS,"(0.4, 0.5]",0.0,0.0
CHAS,"(0.3, 0.4]",0.0,0.0
CHAS,"(0.2, 0.3]",0.0,0.0
CHAS,"(0.1, 0.2]",0.0,0.0
NOX,"(0.482, 0.531]",89.0,0.17588932806324112
NOX,"(0.434, 0.482]",80.0,0.15810276679841898
NOX,"(0.579, 0.628]",78.0,0.1541501976284585
NOX,"(0.384, 0.434]",75.0,0.1482213438735178
NOX,"(0.531, 0.579]",60.0,0.11857707509881422
NOX,"(0.677, 0.725]",57.0,0.11264822134387352
NOX,"(0.628, 0.677]",30.0,0.05928853754940711
NOX,"(0.725, 0.774]",21.0,0.041501976284584984
NOX,"(0.822, 0.871]",16.0,0.03162055335968379
NOX,"(0.774, 0.822]",0.0,0.0
RM,"(5.649, 6.17]",177.0,0.34980237154150196
RM,"(6.17, 6.692]",151.0,0.2984189723320158
RM,"(6.692, 7.214]",69.0,0.13636363636363635
RM,"(5.127, 5.649]",45.0,0.08893280632411067
RM,"(7.214, 7.736]",22.0,0.043478260869565216
RM,"(4.605, 5.127]",14.0,0.02766798418972332
RM,"(7.736, 8.258]",13.0,0.025691699604743084
RM,"(8.258, 8.78]",9.0,0.017786561264822136
RM,"(4.083, 4.605]",4.0,0.007905138339920948
RM,"(3.555, 4.083]",2.0,0.003952569169960474
AGE,"(90.29, 100.0]",168.0,0.33201581027667987
AGE,"(80.58, 90.29]",71.0,0.14031620553359683
AGE,"(70.87, 80.58]",42.0,0.08300395256916997
AGE,"(32.03, 41.74]",42.0,0.08300395256916997
AGE,"(61.16, 70.87]",39.0,0.07707509881422925
AGE,"(51.45, 61.16]",38.0,0.07509881422924901
AGE,"(41.74, 51.45]",32.0,0.06324110671936758
AGE,"(12.61, 22.32]",31.0,0.06126482213438735
AGE,"(22.32, 32.03]",29.0,0.05731225296442688
AGE,"(2.802, 12.61]",14.0,0.02766798418972332
DIS,"(1.118, 2.229]",150.0,0.2964426877470356
DIS,"(2.229, 3.329]",111.0,0.21936758893280633
DIS,"(3.329, 4.429]",81.0,0.1600790513833992
DIS,"(4.429, 5.528]",61.0,0.12055335968379446
DIS,"(5.528, 6.628]",46.0,0.09090909090909091
DIS,"(6.628, 7.728]",26.0,0.05138339920948617
DIS,"(7.728, 8.827]",19.0,0.037549407114624504
DIS,"(8.827, 9.927]",7.0,0.01383399209486166
DIS,"(9.927, 11.027]",4.0,0.007905138339920948
DIS,"(11.027, 12.126]",1.0,0.001976284584980237
RAD,"(3.3, 5.6]",225.0,0.44466403162055335
RAD,"(21.7, 24.0]",132.0,0.2608695652173913
RAD,"(0.976, 3.3]",82.0,0.16205533596837945
RAD,"(5.6, 7.9]",43.0,0.08498023715415019
RAD,"(7.9, 10.2]",24.0,0.04743083003952569
RAD,"(19.4, 21.7]",0.0,0.0
RAD,"(17.1, 19.4]",0.0,0.0
RAD,"(14.8, 17.1]",0.0,0.0
RAD,"(12.5, 14.8]",0.0,0.0
RAD,"(10.2, 12.5]",0.0,0.0
TAX,"(658.6, 711.0]",137.0,0.2707509881422925
TAX,"(291.8, 344.2]",108.0,0.2134387351778656
TAX,"(239.4, 291.8]",100.0,0.1976284584980237
TAX,"(396.6, 449.0]",74.0,0.14624505928853754
TAX,"(186.475, 239.4]",54.0,0.1067193675889328
TAX,"(344.2, 396.6]",32.0,0.06324110671936758
TAX,"(449.0, 501.4]",1.0,0.001976284584980237
TAX,"(606.2, 658.6]",0.0,0.0
TAX,"(553.8, 606.2]",0.0,0.0
TAX,"(501.4, 553.8]",0.0,0.0
PTRATIO,"(20.12, 21.06]",178.0,0.35177865612648224
PTRATIO,"(18.24, 19.18]",76.0,0.15019762845849802
PTRATIO,"(17.3, 18.24]",68.0,0.13438735177865613
PTRATIO,"(14.48, 15.42]",58.0,0.11462450592885376
PTRATIO,"(19.18, 20.12]",40.0,0.07905138339920949
PTRATIO,"(16.36, 17.3]",36.0,0.07114624505928854
PTRATIO,"(21.06, 22.0]",18.0,0.03557312252964427
PTRATIO,"(15.42, 16.36]",15.0,0.029644268774703556
PTRATIO,"(12.59, 13.54]",15.0,0.029644268774703556
PTRATIO,"(13.54, 14.48]",2.0,0.003952569169960474
B,"(357.242, 396.9]",413.0,0.8162055335968379
B,"(317.584, 357.242]",33.0,0.06521739130434782
B,"(-0.0776, 39.978]",18.0,0.03557312252964427
B,"(277.926, 317.584]",11.0,0.021739130434782608
B,"(79.636, 119.294]",10.0,0.019762845849802372
B,"(238.268, 277.926]",7.0,0.01383399209486166
B,"(39.978, 79.636]",6.0,0.011857707509881422
B,"(198.61, 238.268]",3.0,0.005928853754940711
B,"(158.952, 198.61]",3.0,0.005928853754940711
B,"(119.294, 158.952]",2.0,0.003952569169960474
LSTAT,"(5.354, 8.978]",108.0,0.2134387351778656
LSTAT,"(8.978, 12.602]",99.0,0.1956521739130435
LSTAT,"(12.602, 16.226]",84.0,0.16600790513833993
LSTAT,"(1.693, 5.354]",75.0,0.1482213438735178
LSTAT,"(16.226, 19.85]",64.0,0.12648221343873517
LSTAT,"(19.85, 23.474]",30.0,0.05928853754940711
LSTAT,"(23.474, 27.098]",21.0,0.041501976284584984
LSTAT,"(27.098, 30.722]",16.0,0.03162055335968379
LSTAT,"(34.346, 37.97]",5.0,0.009881422924901186
LSTAT,"(30.722, 34.346]",4.0,0.007905138339920948
